text,audio,category
his huge shoulders hunched comma his pendulous nose wobbled comma,"{'array': array([ 0.00076294,  0.00012207,  0.00015259, ..., -0.00030518,
       -0.00027466, -0.00030518]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000843.wav', 'sampling_rate': 16000}",28
staring up the passage toward the place where i knew my camera stood outside the door of the grey room period,"{'array': array([-0.0012207 , -0.0012207 , -0.00115967, ...,  0.00045776,
        0.00061035,  0.00064087]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000211.wav', 'sampling_rate': 16000}",28
the monster was hurled off from the neighborhood of the pentacles though owing to my inconceivable foolishness it had been enabled for a second time to pass the outer barriers period,"{'array': array([-5.49316406e-04, -5.49316406e-04, -5.18798828e-04, ...,
       -3.96728516e-04, -3.05175781e-05,  2.13623047e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000449.wav', 'sampling_rate': 16000}",28
it was nervy work waiting for that thing to come period,"{'array': array([-0.00106812, -0.00106812, -0.00100708, ...,  0.00201416,
        0.00198364,  0.00195312]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000337.wav', 'sampling_rate': 16000}",28
it made a great comma squarish bubble comma the skin of which was specially treated to stop the hard and dangerous part of the ultraviolet rays of the sun comma,"{'array': array([0.00201416, 0.00119019, 0.00039673, ..., 0.00024414, 0.00024414,
       0.00024414]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000624.wav', 'sampling_rate': 16000}",28
hi comma neely comma,"{'array': array([-1.52587891e-04, -1.22070312e-04, -9.15527344e-05, ...,
        2.07519531e-03,  2.10571289e-03,  2.07519531e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000855.wav', 'sampling_rate': 16000}",28
said the caterpillar comma,"{'array': array([-6.10351562e-05, -9.15527344e-05, -9.15527344e-05, ...,
       -9.15527344e-05, -6.10351562e-05, -9.15527344e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000610.wav', 'sampling_rate': 16000}",28
then comma you see comma if the door were really opened comma the flashlight would blare out comma,"{'array': array([ 0.00036621,  0.00033569,  0.00030518, ..., -0.00128174,
       -0.00119019, -0.0012207 ]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000202.wav', 'sampling_rate': 16000}",28
john endlich had his two drinks period,"{'array': array([-1.52587891e-04,  1.52587891e-04,  3.05175781e-05, ...,
        3.05175781e-05,  6.10351562e-05, -3.05175781e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000803.wav', 'sampling_rate': 16000}",28
the dodo leading the way period,"{'array': array([-3.05175781e-05, -3.05175781e-05, -6.10351562e-05, ...,
       -3.05175781e-05, -3.05175781e-05,  0.00000000e+00]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000342.wav', 'sampling_rate': 16000}",28
then they all sat down again in a large ring on the bank comma and begged the mouse to begin his story period,"{'array': array([ 1.49536133e-03,  2.07519531e-03,  2.07519531e-03, ...,
        1.52587891e-04, -9.15527344e-05, -9.15527344e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000350.wav', 'sampling_rate': 16000}",28
in a second cold sweat began to break out on his body comma as intermittent thudding noises reached his ear period,"{'array': array([-7.93457031e-04, -5.79833984e-04, -5.49316406e-04, ...,
       -2.13623047e-04, -1.22070312e-04, -9.15527344e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000394.wav', 'sampling_rate': 16000}",28
john endlich felt prouder of himself he'd expected a certain fierceness and lack of manners period,"{'array': array([ 0.00057983,  0.00061035,  0.00064087, ...,  0.00552368,
        0.00161743, -0.00570679]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000817.wav', 'sampling_rate': 16000}",28
the next task prescribed by the homesteaders' school was to secure a supply of air and water in quantity period,"{'array': array([0.00027466, 0.00024414, 0.00021362, ..., 0.00018311, 0.00018311,
       0.00018311]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000334.wav', 'sampling_rate': 16000}",28
later comma i used it several times comma and always i came through safe comma until that moving fur case period,"{'array': array([ 0.00036621,  0.00030518,  0.00039673, ..., -0.00048828,
       -0.00045776, -0.00076294]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000306.wav', 'sampling_rate': 16000}",28
and seemed to leap almost into my face,"{'array': array([-0.00012207, -0.00018311, -0.00012207, ..., -0.00134277,
       -0.00140381, -0.00137329]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000458.wav', 'sampling_rate': 16000}",28
whether doing so made sense or not comma didn't matter period,"{'array': array([ 0.0057373 ,  0.00018311,  0.00762939, ..., -0.00036621,
       -0.00036621, -0.00036621]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000500.wav', 'sampling_rate': 16000}",28
there had been no air left to sustain combustion comma so buildings and trees had not continued to burn comma,"{'array': array([-0.00015259,  0.00012207,  0.00018311, ...,  0.00027466,
        0.00027466,  0.00024414]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000234.wav', 'sampling_rate': 16000}",28
the big man's evident discomfort and fear were the marks of weakness to his followers at least and with them comma he could never be a leader comma again period,"{'array': array([ 0.00195312,  0.00076294, -0.00393677, ...,  0.00158691,
        0.00158691,  0.00164795]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0001115.wav', 'sampling_rate': 16000}",28
she very soon finished it off period,"{'array': array([ 0.        ,  0.        ,  0.        , ..., -0.00024414,
       -0.00024414, -0.00030518]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000095.wav', 'sampling_rate': 16000}",28
john endlich's flesh crawled period,"{'array': array([ 0.00000000e+00,  0.00000000e+00,  3.05175781e-05, ...,
       -7.01904297e-04, -7.01904297e-04, -6.71386719e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000589.wav', 'sampling_rate': 16000}",28
yes comma johnny comma,"{'array': array([0.00000000e+00, 3.05175781e-05, 3.05175781e-05, ...,
       6.10351562e-04, 6.10351562e-04, 4.88281250e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000738.wav', 'sampling_rate': 16000}",28
i must be growing small again period,"{'array': array([-9.15527344e-05, -6.10351562e-05, -6.10351562e-05, ...,
       -2.13623047e-04, -2.44140625e-04, -1.83105469e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000217.wav', 'sampling_rate': 16000}",28
the camp ready to explode into sudden comma open barbarism for days was now at a point where nothing so dramatic as fresh tomatoes and farmers in a bar was needed to set the fireworks off period,"{'array': array([-0.00350952, -0.00115967,  0.00024414, ..., -0.0017395 ,
       -0.0017395 , -0.00170898]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000802.wav', 'sampling_rate': 16000}",28
to which piece of news he gave an intelligent nod comma,"{'array': array([0.00054932, 0.00039673, 0.00039673, ..., 0.00027466, 0.00033569,
       0.00131226]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000010.wav', 'sampling_rate': 16000}",28
panting with tension comma endlich swooped down before his greenhouse comma and dragged neely inside through the airlock period,"{'array': array([-0.00018311, -0.00012207, -0.00012207, ..., -0.00018311,
       -0.00018311, -0.00012207]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000937.wav', 'sampling_rate': 16000}",28
and she tried to fancy what the flame of a candle is like after the candle is blown out comma,"{'array': array([-6.10351562e-05, -6.10351562e-05, -3.05175781e-05, ...,
       -6.10351562e-05, -3.05175781e-05, -3.05175781e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000104.wav', 'sampling_rate': 16000}",28
who was gently brushing away some leaves that had fluttered down from the trees on to her face period,"{'array': array([ 1.98364258e-03,  2.71606445e-03,  7.62939453e-04, ...,
        0.00000000e+00,  0.00000000e+00, -3.05175781e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000853.wav', 'sampling_rate': 16000}",28
very much indeed comma said alice period,"{'array': array([-1.22070312e-04, -1.52587891e-04, -1.22070312e-04, ...,
        9.15527344e-05,  6.10351562e-05,  0.00000000e+00]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000791.wav', 'sampling_rate': 16000}",28
while another was giving it something out of a bottle period,"{'array': array([-2.74658203e-04, -3.05175781e-04, -3.35693359e-04, ...,
        1.22070312e-04,  1.22070312e-04,  9.15527344e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000552.wav', 'sampling_rate': 16000}",28
poor old beggar exclamationpoint,"{'array': array([ 0.00054932,  0.00054932,  0.00057983, ..., -0.00021362,
        0.00045776,  0.0012207 ]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000121.wav', 'sampling_rate': 16000}",28
it's the showdown period,"{'array': array([3.05175781e-05, 4.88281250e-04, 1.22070312e-03, ...,
       1.55639648e-03, 1.52587891e-03, 1.49536133e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000983.wav', 'sampling_rate': 16000}",28
endlich growled without any further comment period,"{'array': array([-9.15527344e-05, -1.52587891e-04, -1.83105469e-04, ...,
       -2.04467773e-03, -2.10571289e-03, -2.04467773e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000296.wav', 'sampling_rate': 16000}",28
and so suddenly had vesta been chilled in the cold of space at the time of the parent body's explosion comma,"{'array': array([ 0.        ,  0.        ,  0.        , ...,  0.00213623,
       -0.00250244,  0.00164795]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000339.wav', 'sampling_rate': 16000}",28
it retired almost beyond the glow of the vacuum light comma,"{'array': array([3.05175781e-05, 3.05175781e-05, 0.00000000e+00, ...,
       1.19018555e-03, 1.40380859e-03, 1.12915039e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000415.wav', 'sampling_rate': 16000}",28
i lit the lot comma and after that comma,"{'array': array([-0.00021362, -0.00021362, -0.00018311, ..., -0.00119019,
       -0.0012207 , -0.00131226]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000074.wav', 'sampling_rate': 16000}",28
but poor old dennis was quite shocked comma i believe comma at the suggestion and though tabbit comma the agent comma,"{'array': array([ 1.19018555e-03,  1.12915039e-03,  9.15527344e-04, ...,
       -6.10351562e-05, -7.62939453e-04,  3.05175781e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000665.wav', 'sampling_rate': 16000}",28
i my true self am in servitude to the law of god comma,"{'array': array([-0.00497437, -0.00494385, -0.00405884, ...,  0.0022583 ,
        0.00180054,  0.00302124]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000688_S0000131.wav', 'sampling_rate': 16000}",28
thank you comma said alice comma feeling very glad that the figure was over period,"{'array': array([-9.15527344e-05, -1.52587891e-04, -1.83105469e-04, ...,
       -1.52587891e-04,  1.46484375e-03,  1.22070312e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000807.wav', 'sampling_rate': 16000}",28
you hydroponic pun'kinhead period,"{'array': array([-9.15527344e-04, -8.85009766e-04, -9.76562500e-04, ...,
        1.52587891e-04,  1.52587891e-04,  6.10351562e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000029.wav', 'sampling_rate': 16000}",28
lose your appetite questionmark,"{'array': array([9.15527344e-04, 9.46044922e-04, 9.46044922e-04, ...,
       0.00000000e+00, 3.05175781e-05, 6.10351562e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0001090.wav', 'sampling_rate': 16000}",28
about eleven o'clock a queer knowledge came that something was near to me yet nothing happened for a whole hour after that period,"{'array': array([-1.86157227e-03, -1.86157227e-03, -1.89208984e-03, ...,
        6.10351562e-05,  2.74658203e-04,  4.27246094e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000558.wav', 'sampling_rate': 16000}",28
the hours were pitifully short period,"{'array': array([-0.00204468, -0.00170898, -0.00073242, ...,  0.00082397,
        0.00082397,  0.00079346]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000655.wav', 'sampling_rate': 16000}",28
why comma she'll eat a little bird as soon as look at it exclamationpoint,"{'array': array([0.00268555, 0.00296021, 0.00213623, ..., 0.00048828, 0.0005188 ,
       0.00054932]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000398.wav', 'sampling_rate': 16000}",28
after that comma i made a very careful search of the corner where the bedclothes had been thrown period,"{'array': array([-0.00091553, -0.00097656, -0.00097656, ...,  0.0010376 ,
        0.0015564 ,  0.00152588]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000501.wav', 'sampling_rate': 16000}",28
at the second go comma i got it period,"{'array': array([-0.00109863, -0.0010376 , -0.00097656, ..., -0.00091553,
       -0.00094604, -0.00094604]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000506.wav', 'sampling_rate': 16000}",28
don't listen to those crazy miners exclamationpoint they're just kidding us exclamationpoint don't listen to them exclamationpoint,"{'array': array([-0.00259399, -0.00125122,  0.00170898, ..., -0.00033569,
       -0.00039673, -0.00039673]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000018.wav', 'sampling_rate': 16000}",28
and also the lethal portion of the cosmic rays period,"{'array': array([6.10351562e-05, 3.05175781e-05, 3.05175781e-05, ...,
       1.31225586e-03, 1.22070312e-03, 1.19018555e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000625.wav', 'sampling_rate': 16000}",28
the box that contained the means of survival for his family and himself comma as if he foresaw the future comma a moment away period,"{'array': array([ 0.00201416,  0.0050354 ,  0.00311279, ..., -0.00018311,
       -0.00015259, -0.00015259]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000420.wav', 'sampling_rate': 16000}",28
with the cat lying half in comma and half out upon the floor period,"{'array': array([-3.05175781e-05,  9.15527344e-05,  2.44140625e-04, ...,
        7.01904297e-04,  7.32421875e-04,  5.79833984e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000401.wav', 'sampling_rate': 16000}",28
who stole the tarts questionmark,"{'array': array([-5.49316406e-04, -6.10351562e-04, -6.10351562e-04, ...,
       -3.05175781e-05, -6.10351562e-05, -6.10351562e-05]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000713.wav', 'sampling_rate': 16000}",28
but maybe this way is more fun comma,"{'array': array([9.15527344e-05, 2.13623047e-04, 2.13623047e-04, ...,
       1.28173828e-03, 1.28173828e-03, 1.19018555e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000488.wav', 'sampling_rate': 16000}",28
and yesterday everything happened just as usual i wonder if i was changed in the night questionmark,"{'array': array([0.00735474, 0.00714111, 0.00698853, ..., 0.00018311, 0.00021362,
       0.00018311]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000176.wav', 'sampling_rate': 16000}",28
lit up by a row of lamps which hung from the roof period,"{'array': array([ 2.25830078e-03,  1.19018555e-03, -9.15527344e-04, ...,
        3.05175781e-05,  0.00000000e+00,  0.00000000e+00]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000053.wav', 'sampling_rate': 16000}",28
and making quite a conversation of it altogether comma,"{'array': array([-0.00134277, -0.00512695,  0.00375366, ..., -0.0015564 ,
       -0.00109863,  0.0007019 ]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000484.wav', 'sampling_rate': 16000}",28
